M,R,Y
1396.609351,2.8,2392.9
1420.261785,3.21,2455.8
1429.827013,4.04,2453.9
1428.997121,4.49,2462.6
1430.175338,3.31,2517.4
1439.397258,2.46,2504.8
1462.95295,2.48,2508.7
1477.182446,2.25,2476.2
1501.929974,2.39,2491.2
1526.99063,2.33,2538
1546.927663,2.28,2579.1
1569.581287,2.6,2631.8
1595.730431,2.72,2679.1
1621.93842,2.73,2708.4
1644.058374,2.78,2733.3
1675.144322,2.87,2740
1707.9624,2.89,2775.9
1740.266728,2.99,2810.6
1771.695429,3.38,2863.5
1791.462804,3.52,2885.8
1815.756722,3.54,2950.5
1844.235038,3.48,2984.8
1881.245487,3.53,3025.5
1907.247418,3.84,3033.6
1935.486753,3.93,3108.2
1957.731317,3.8,3150.2
1992.142002,3.92,3214.1
2022.147355,4.38,3291.8
2044.257274,4.59,3372.3
2044.229434,4.5,3384
2041.277747,5.37,3406.3
2042.790896,4.96,3433.7
2073.835338,4.26,3464.1
2114.477065,3.54,3464.3
2146.665276,4.42,3491.8
2164.799307,4.97,3518.2
2175.650861,5.17,3590.7
2191.200582,5.52,3651.6
2213.523672,5.19,3676.5
2235.02484,5.96,3692
2241.297901,6.02,3750.2
2228.480623,6.44,3760.9
2210.481543,7.09,3784.2
2203.947516,7.82,3766.3
2170.538882,6.63,3760
2169.939478,6.68,3767.1
2210.695555,6.12,3800.5
2237.341094,4.87,3759.8
2286.360598,3.38,3864.1
2336.881033,4.75,3885.9
2380.490907,4.69,3916.7
2422.28361,4.01,3927.9
2462.979752,3.73,3997.7
2502.386595,3.91,4092.1
2573.054545,4.66,4131.1
2617.382226,5.07,4198.7
2628.343005,6.09,4305.3
2645.244444,7.19,4355.1
2613.402254,8.29,4331.9
2612.280916,7.45,4373.3
2607.034995,7.96,4335.4
2569.662198,7.9,4347.9
2524.981516,8.06,4305.8
2490.808438,7.15,4288.9
2496.734143,5.49,4237.6
2560.256819,5.34,4268.6
2587.800485,6.42,4340.9
2606.548337,5.44,4397.8
2663.668882,5,4496.8
2704.799197,5.41,4530.3
2750.508852,5.08,4552
2801.461505,4.35,4584.6
2843.614221,4.6,4640
2872.021886,5.02,4731.1
2903.83065,5.81,4815.8
2896.743592,6.07,4815.3
2903.502977,6.29,4830.8
2909.225304,6.73,5021.2
2919.393558,7.85,5070.7
2903.392352,9.08,5137.4
2898.721698,9.48,5147.4
2900.640059,9.06,5152.3
2901.588347,10.26,5189.4
2883.081949,12.04,5204.7
2873.449564,15.2,5221.3
2866.39862,7.07,5115.9
2884.937683,10.27,5107.4
2853.193273,15.49,5202.1
2845.351809,13.36,5307.5
2850.465886,14.73,5266.1
2860.443319,14.7,5329.8
2890.627213,10.85,5263.4
2902.266266,12.68,5177.1
2930.867388,12.47,5204.9
2949.154823,7.92,5185.2
2991.229663,7.94,5189.8
3135.112133,8.35,5253.8
3171.305876,8.79,5372.3
3184.011783,9,5478.4
3221.391565,9,5590.5
3259.220192,9.52,5699.8
3290.817931,9.87,5797.9
3307.450738,10.37,5854.3
3377.85918,8.06,5902.4
3426.157183,8.52,5956.9
3474.119339,6.95,6007.8
3522.606604,7.1,6101.7
3550.615317,7.1,6148.6
3589.69739,6.56,6207.4
3673.430965,6.21,6232
3740.82127,5.21,6291.7
3800.497962,5.53,6323.4
3804.385614,5.59,6365
3812.463983,5.67,6435
3818.342526,6.4,6493.4
3828.45534,5.77,6606.8
3882.354834,5.7,6639.1
3908.918991,6.46,6723.5
3891.589288,7.24,6759.4
3903.3893,8.07,6848.6
3874.39933,8.82,6918.1
3872.944436,8.15,6963.5
3928.296505,7.75,7013.1
3976.305949,7.63,7030.9
3975.864386,7.9,7112.1
3957.678543,7.73,7130.3
3974.380417,7.36,7130.8
3966.585195,6.74,7076.9
3979.188291,5.91,7040.8
3990.907147,5.57,7086.5
3965.222623,5.22,7120.7
3964.157454,4.07,7154.1
3977.471098,4.04,7228.2
3943.653556,3.66,7297.9
3945.361515,2.91,7369.5
3943.289019,3.22,7450.7
3898.109615,2.95,7459.7
3911.512643,3.07,7497.5
3908.498363,2.95,7536
3912.628316,3.06,7637.4
3897.748331,3.5,7715.1
3882.577762,4.14,7815.7
3861.096874,4.62,7859.5
3844.137567,5.6,7951.6
3824.568994,5.73,7973.7
3873.096811,5.47,7988
3911.817226,5.28,8053.1
3925.298437,5.14,8112
3962.824661,4.96,8169.2
3986.865117,5.09,8303.1
4010.070143,5.09,8372.7
4039.506617,4.91,8470.6
4056.837166,5.14,8536.1
4099.501082,4.93,8665.8
4155.785375,4.95,8773.7
4205.479624,5.16,8838.4
4282.159248,5.03,8936.2
4346.692433,4.98,8995.3
4421.674948,4.61,9098.9
4522.100605,4.39,9237.1
4566.326237,4.44,9315.5
4622.082642,4.57,9392.6
4669.667289,4.68,9502.2
4723.244473,5.2,9671.1
4755.353061,5.69,9695.6
4795.597774,5.69,9847.9
4851.107631,6,9836.6
4900.422188,5.77,9887.7
5015.992232,4.42,9882.2
5078.550192,3.49,9866.3
5228.66355,2.64,9834.6
5284.268802,1.69,9883.6
5342.015196,1.79,9997.9
5373.248309,1.7,10045.1
5459.707544,1.63,10128.4
5550.884693,1.19,10160.8
5615.536492,1.13,10210.4
5722.580553,0.92,10288.3
5760.468016,0.94,10493.1
5712.373971,0.9,10597.1
